"state","yr","dln_cpi"
"Karnataka",2019,0.0520434970984587
"Karnataka",2020,0.0361104375970074
"Karnataka",2021,0.0911773584244946
"Karnataka",2022,0.0395423416336618
"Karnataka",2023,0.054012622706205
"Karnataka",2024,0.240099716671587
"Kerala",1971,0.0155041865359653
"Kerala",1972,0.00707550121620049
"Kerala",1973,0.129508426888744
"Kerala",1974,0.287251835384524
"Kerala",1975,0.225361590549189
"Kerala",1976,-0.180180404695366
"Kerala",1977,-0.0636833423201999
"Kerala",1978,0.0120262887372222
"Kerala",1979,0.0332256476283206
"Kerala",1980,0.0785332734246822
"Kerala",1981,0.114705513346378
"Kerala",1982,0.0902868466721003
"Kerala",1983,0.194178287396023
"Kerala",1984,0.126510388865158
"Kerala",1985,-0.0448140157897923
"Kerala",1986,0.0904656531445447
"Kerala",1987,0.0806583873377074
"Kerala",1988,0.0700174906724262
"Kerala",1989,0.0859477423654713
"Kerala",1990,0.0907510520156682
"Kerala",1991,0.118770669303596
"Kerala",1992,0.092993337318684
"Kerala",1993,0.132650655812149
"Kerala",1994,0.117753238722485
"Kerala",1995,0.0892020626928671
"Kerala",1997,0.062698594215564
"Kerala",1998,0.0457531140119354
"Kerala",1999,0.0257760363149835
"Kerala",2000,0.0319686254011797
"Kerala",2001,0.00991398675765165
"Kerala",2002,0.0116145324206931
"Kerala",2003,0.0360376656164867
"Kerala",2004,0.0280677363343527
"Kerala",2005,0.0155226997405089
"Kerala",2006,-0.578211797516073
"Kerala",2007,-0.0245922796433238
"Kerala",2008,0.112114017856578
"Kerala",2009,0.0920146451749222
"Kerala",2010,0.111940760032155
"Kerala",2011,0.107772377506569
"Kerala",2012,0.0547307690383727
"Kerala",2013,0.155146772163086
"Kerala",2014,0.110699483233725
"Kerala",2015,0.0526806491305401
"Kerala",2016,0.0432463704178208
"Kerala",2017,0.050643732818755
"Kerala",2018,0.0510756670136097
"Kerala",2019,0.0422219761949423
"Kerala",2020,0.0161313236755714
"Kerala",2021,0.0528723352397105
"Kerala",2022,0.0624928978439616
"Kerala",2023,0.0411369055604895
"Kerala",2024,0.209862197104693
"Madhya Pradesh",1971,-0.0111918266643007
"Madhya Pradesh",1972,0.107400950270266
"Madhya Pradesh",1973,0.174742678639183
"Madhya Pradesh",1974,0.34376582333101
"Madhya Pradesh",1975,0.0784295549837868
"Madhya Pradesh",1976,-0.27865451832356
"Madhya Pradesh",1977,0.102660796261309
"Madhya Pradesh",1978,-0.00147565201396294
"Madhya Pradesh",1979,0.0416978107335702
"Madhya Pradesh",1980,0.147043329368606
"Madhya Pradesh",1981,0.11244763118897
"Madhya Pradesh",1982,0.014643667620823
"Madhya Pradesh",1983,0.0956038128629917
"Madhya Pradesh",1984,0.0354118551642841
"Madhya Pradesh",1985,0.0830415007309764
"Madhya Pradesh",1986,0.0146701897477941
"Madhya Pradesh",1987,0.0533756479133878
"Madhya Pradesh",1988,0.123720974830928
"Madhya Pradesh",1989,0.13076174319813
"Madhya Pradesh",1990,0.0139643786511208
"Madhya Pradesh",1991,0.149750183782988
"Madhya Pradesh",1992,0.372374297567952
"Madhya Pradesh",1993,0.351393339057774
"Madhya Pradesh",1994,-0.422963729607083
"Madhya Pradesh",1995,0.0985843280546046
"Madhya Pradesh",1997,0.0601318410446243
"Madhya Pradesh",1998,0.0964566402337095
"Madhya Pradesh",1999,0.0524527479997383
"Madhya Pradesh",2000,0.015106842462143
"Madhya Pradesh",2001,-0.00187592176143525
"Madhya Pradesh",2002,0.00761577600373276
"Madhya Pradesh",2003,0.0162390524764779
"Madhya Pradesh",2004,0.0122349567358295
"Madhya Pradesh",2005,0.0558495225427551
"Madhya Pradesh",2006,-0.535890420443926
"Madhya Pradesh",2007,-0.00104591579454194
"Madhya Pradesh",2008,0.0857897576687554
"Madhya Pradesh",2009,0.127679690857977
"Madhya Pradesh",2010,0.102736619785313
"Madhya Pradesh",2011,0.0828200477843248
"Madhya Pradesh",2012,0.0828365931510051
"Madhya Pradesh",2013,0.0972355601920256
"Madhya Pradesh",2014,0.025819089781109
"Madhya Pradesh",2015,0.033604330689692
"Madhya Pradesh",2016,0.0389103541759948
"Madhya Pradesh",2017,0.00857374926555554
"Madhya Pradesh",2018,0.0139203671237578
"Madhya Pradesh",2019,0.0524411645913148
"Madhya Pradesh",2020,0.0223347656394761
"Madhya Pradesh",2021,0.0741493072782502
"Madhya Pradesh",2022,0.0681925035138935
"Madhya Pradesh",2023,0.0693943301253768
"Madhya Pradesh",2024,0.236524321996074
"Maharashtra",1971,0.0586374852529117
"Maharashtra",1972,0.111996738597468
"Maharashtra",1973,0.163678870508263
"Maharashtra",1974,0.16920346754331
"Maharashtra",1975,0.216141098784992
"Maharashtra",1976,-0.206259859353088
"Maharashtra",1977,0.00741332492289715
"Maharashtra",1978,-0.00582012224919914
"Maharashtra",1979,0.0760959126400893
"Maharashtra",1980,0.0956007248017308
"Maharashtra",1981,0.184739487852002
"Maharashtra",1982,0.00167053403118533
"Maharashtra",1983,0.0755244123606218
"Maharashtra",1984,0.064592260020353
"Maharashtra",1985,0.0167856231098114
"Maharashtra",1986,0.0669828205589278
"Maharashtra",1987,0.0826281746969029
"Maharashtra",1988,0.0750532761588216
"Maharashtra",1989,0.131297038112475
"Maharashtra",1990,-0.014879728579853
"Maharashtra",1991,0.220705957004708
"Maharashtra",1992,0.232733146495436
"Maharashtra",1993,-0.126333669705191
"Maharashtra",1994,0.130764463775914
"Maharashtra",1995,0.243113944141677
"Maharashtra",1997,0.0114548789747664
"Maharashtra",1998,0.103177855530483
"Maharashtra",1999,0.0391416872045047
"Maharashtra",2000,0.0346727285108841
"Maharashtra",2001,-0.0112406940934537
"Maharashtra",2002,0.0328165040754103
"Maharashtra",2003,0.0497045196125932
"Maharashtra",2004,0.0451689683679115
"Maharashtra",2005,0.0420539458636391
"Maharashtra",2006,0.0666013060465875
"Maharashtra",2007,0.0842867281458544
"Maharashtra",2008,0.0860271659887761
"Maharashtra",2009,0.128838924153086
"Maharashtra",2010,0.125713631289012
"Maharashtra",2011,0.11964738138464
"Maharashtra",2012,0.0957807437437097
"Maharashtra",2013,0.0781078302526348
"Maharashtra",2014,0.0561261267606996
"Maharashtra",2015,0.0634593798284735
"Maharashtra",2016,0.0529961751129093
"Maharashtra",2017,0.0241740929305623
"Maharashtra",2018,-8.71725581337302e-05
"Maharashtra",2019,0.12965543993914
"Maharashtra",2020,0.0463111514376342
"Maharashtra",2021,0.0552516727924051
"Maharashtra",2022,0.0574005152816346
"Maharashtra",2023,0.0515578096648497
"Maharashtra",2024,0.235536200435377
"Manipur",1997,0.0439034748595777
"Manipur",1998,0.0755777501144355
"Manipur",1999,0.0785729297128235
"Manipur",2000,0.047397131733578
"Manipur",2001,-0.0199236235691167
"Manipur",2002,-0.03856624531418
"Manipur",2003,0.0193322784089629
"Manipur",2004,0.0211103915276274
"Manipur",2005,0.0162043657280622
"Manipur",2006,-0.566822192465367
"Manipur",2007,-0.0218344159452917
"Manipur",2008,0.0902697702276889
"Manipur",2009,0.113847496080479
"Manipur",2010,0.126027988189245
"Manipur",2011,0.139591308469788
"Manipur",2012,0.0955934296258159
"Manipur",2013,0.0898394712589319
"Manipur",2014,0.117015702102701
"Manipur",2015,0.0501521676206096
"Manipur",2016,0.0229918886091163
"Manipur",2017,0.0374118444975151
"Manipur",2018,0.0389941099345457
"Manipur",2019,0.0819150004722351
"Manipur",2020,0.0308402032800963
"Manipur",2021,0.0430129450891075
"Manipur",2022,0.0177009947840245
"Manipur",2023,0.031031447661821
"Manipur",2024,0.214470630962202
"Meghalaya",1997,0.0630328338325388
"Meghalaya",1998,0.0999089080241609
"Meghalaya",1999,0.0923408024495229
"Meghalaya",2000,0.0378336629340534
"Meghalaya",2001,0.0125393492527355
"Meghalaya",2002,-0.00263947363797268
"Meghalaya",2003,-0.0024055821078548
"Meghalaya",2004,0.0277894619122367
"Meghalaya",2005,0.0336282262800989
"Meghalaya",2006,0.0748195778248419
"Meghalaya",2007,0.0678432688143946
"Meghalaya",2008,0.0779860894794835
"Meghalaya",2009,0.120020917256872
"Meghalaya",2010,0.0663795031119028
"Meghalaya",2011,0.0878402208000306
"Meghalaya",2012,0.10428288468356
"Meghalaya",2013,0.0878404269459203
"Meghalaya",2014,0.0704958435549967
"Meghalaya",2015,0.0270286723879192
"Meghalaya",2016,0.0444742317038633
"Meghalaya",2017,0.0219036819848473
"Meghalaya",2018,0.0450109068004663
"Meghalaya",2019,0.069812384569544
"Meghalaya",2020,0.0499515306084426
"Meghalaya",2021,0.0846571465017973
"Meghalaya",2022,0.0380808276274953
"Meghalaya",2023,0.0354940337584946
"Meghalaya",2024,0.230886065491646
"Odisha",1971,-0.00236034727994472
"Odisha",1972,0.116600769508821
"Odisha",1973,0.0772076646665614
"Odisha",1974,0.271655564260301
"Odisha",1975,0.243314606300928
"Odisha",1976,-0.241585143238599
"Odisha",1977,0.0479552187157717
"Odisha",1978,-0.0242926925690448
"Odisha",1979,0.0867702678865934
"Odisha",1980,0.146161289793779
"Odisha",1981,0.0576993930254437
"Odisha",1982,0.188999527917936
"Odisha",1983,0.125101692818578
"Odisha",1984,-0.111024257999925
"Odisha",1985,0.0520361026043625
"Odisha",1986,0.016348382950901
"Odisha",1987,0.0687638131447903
"Odisha",1988,0.150165842624283
"Odisha",1989,0.00550480306747136
"Odisha",1990,0.0250460319260872
"Odisha",1991,0.20212978291606
"Odisha",1992,0.0983197786391736
"Odisha",1993,0.0439759119789374
"Odisha",1994,0.104107739456168
"Odisha",1995,0.117568767688397
"Odisha",1997,0.0615680843938193
"Odisha",1998,0.0137097635940346
"Odisha",1999,0.147524231579824
"Odisha",2000,0.0170666474773045
"Odisha",2001,-0.0198026272961798
"Odisha",2002,-0.031306904625044
"Odisha",2003,0.0422061950830797
"Odisha",2004,0.0275308046543259
"Odisha",2005,0.0326792565107326
"Odisha",2006,-0.556908305671838
"Odisha",2007,0.0204965853068373
"Odisha",2008,0.0936429173006852
"Odisha",2009,0.105122108218385
"Odisha",2010,0.105950470355692
"Odisha",2011,0.0590243108820774
"Odisha",2012,0.0727965960506714
"Odisha",2013,0.136821476964689
"Odisha",2014,0.0932625464543166
"Odisha",2015,0.00391258673626993
"Odisha",2016,0.000669194760641645
"Odisha",2017,0.00600268587649744
"Odisha",2018,0.0436949554891752
"Odisha",2019,0.0762653233100723
"Odisha",2020,0.0337311514970038
"Odisha",2021,0.0602108371910175
"Odisha",2022,0.0560292655304711
"Odisha",2023,0.0425701905537474
"Odisha",2024,0.242527955860132
"Punjab",1971,-0.0051042220557509
"Punjab",1972,0.111651983443265
"Punjab",1973,0.107646230938682
"Punjab",1974,0.248570942335156
"Punjab",1975,0.0528012380653644
"Punjab",1976,-0.106853620889225
"Punjab",1977,0.0941048505650874
"Punjab",1978,0.0233335465666977
"Punjab",1979,0.0482050511005383
"Punjab",1980,0.158917133083958
